1-ORF,2-Gene Name,3-Description,4-Localization,5-Cell morphology,6-Mitochondria morphology,7-YPD,8-SD,9-YPG,10-KO*,11-Short-Categorical result,12-Long-Categorical result,13-Short-% decrease with IAA,14-Long-% decrease with IAA,15-Short-0min-signal,16-Short-0min-StD,17-Short-0min-n,18-Short-30min-signal,19-Short-30min-StD,20-Short-30min-n,21-Long-0h-signal,22-Long-0h-StD,23-Long-0h-n,24-Long-24h-signal,25-Long-24h-StD,26-Long-24h-n,27-Mito Signal,28-Mito StD,29-Mito n,

YIR038C,GTT1,"ER associated glutathione S-transferase; capable of homodimerization; glutathione transferase for Yvc1p vacuolar cation channel; expression induced during the diauxic shift and throughout stationary phase; functional overlap with Gtt2p, Grx1p, and Grx2p",ambiguous,Normal,Abnormal,1.129,0.965,0.981,viable ,No Fluorescence detected,Responsive,Not calculated,8,146,7,2359,137,6,3048,196,14,3838,180,12,1347,140,24,1342,

YER038C,KRE29,Subunit of the SMC5-SMC6 complex; this complex is involved in removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance,"cytoplasm,nucleus",Synchronized abnormal,Abnormal,0.355,0.56,0.362,inviable ,No Fluorescence detected,Responsive,Not calculated,Not calculated,150,8,1496,143,7,1974,199,13,3631,182,22,343,147,37,350,

YLR187W,SKG3,"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; potential Cdc28p substrate; similar to Skg4p; relocalizes from bud neck to cytoplasm upon DNA replication stress; SKG3 has a paralog, CAF120, that arose from the whole genome duplication","ambiguous,bud neck,cytoplasm,cell periphery,bud",Normal,Normal,1.089,1.03,1.065,viable ,Responsive,Responsive,21,19,147,7,1361,137,6,1727,217,13,3857,177,13,553,130,14,553,

YGR042W,MTE1,Protein of unknown function; involved in maintenance of proper telomere length; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus; forms nuclear foci upon DNA replication stress,"cytoplasm,nucleus",Normal,Normal,1.152,1.088,0.987,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,150,7,2780,138,6,1889,185,11,3600,197,14,2079,126,10,2088,

YPL013C,MRPS16,Mitochondrial ribosomal protein of the small subunit,mitochondrion,Normal,Normal,0.929,0.808,0.733,viable ,No aparent change,No aparent change,Not calculated,Not calculated,147,9,2753,139,8,2079,198,14,4356,185,17,1933,126,14,1962,

YNL194C,YNL194C,"Integral membrane protein; required for sporulation and plasma membrane sphingolipid content; similar to SUR7; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; GFP-fusion protein is more abundant at MCCs (membrane compartment occupied by Can1) in the presence of glycerol and oleate; YNL194C has a paralog, FMP45, that arose from the whole genome duplication",cell periphery,Normal,Normal,1.018,1.132,0.872,viable ,Responsive,Responsive,25,15,149,8,3194,137,7,2199,200,14,3010,170,16,551,136,17,534,

YLR281C,RSO55,Stalled-ribosome rescue factor srRF2; mitochondrial protein required for respiratory growth in presence of bacteriostatic ribosome-binding antibiotics; not an essential gene,mitochondrion,Normal,Normal,1.013,1.119,0.929,viable ,No aparent change,No aparent change,Not calculated,Not calculated,139,8,2768,131,7,2884,208,10,4355,166,15,610,137,20,625,

YGL139W,FLC3,"Putative FAD transporter, similar to Flc1p and Flc2p; localized to the ER; FLC3 has a paralog, FLC1, that arose from the whole genome duplication",cell periphery,Normal,Normal,0.982,1.051,0.888,viable ,No Fluorescence detected,Responsive,Not calculated,17,137,6,2973,129,6,3275,196,12,2989,163,12,1019,139,21,1006,

YML007C-A,MIN4,Mitochondrial protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria,mitochondrion,Normal,Normal,0.953,1.044,1.008,N/A,No aparent change,Responsive,Not calculated,14,141,9,2938,133,8,3460,207,13,4184,178,13,749,128,12,750,

YIL121W,QDR2,"Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; exports copper; has broad substrate specificity and can transport many mono- and divalent cations; transports a variety of drugs and is required for resistance to quinidine, barban, cisplatin, and bleomycin; contributes to potassium homeostasis; expression is regulated by copper",cell periphery,Normal,Normal,1.024,1.041,1.117,viable ,Responsive,Responsive,36,18,149,10,2664,131,7,3251,213,15,3550,175,14,752,131,15,724,

YNL122C,MRP35,Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L35 and human MRPL35 ribosomal proteins,mitochondrion,Normal,Normal,0.996,0.979,1.13,viable ,No aparent change,No aparent change,Not calculated,Not calculated,145,7,2151,138,7,3079,196,13,3638,179,13,995,134,18,983,

YNL065W,AQR1,"Plasma membrane transporter of the major facilitator superfamily; involved in the excretion of excess amino acids; member of the 12-spanner drug:H(+) antiporter DHA1 family; confers resistance to short-chain monocarboxylic acids and quinidine; relocalizes from plasma membrane to cytoplasm upon DNA replication stress; AQR1 has a paralog, QDR1, that arose from the whole genome duplication","cell periphery,vacuole",Abnormal,Cell morphology,0.957,0.978,1.031,viable ,Responsive,Responsive,40,21,155,13,2317,133,8,2925,216,21,2943,171,13,663,133,15,665,

YOR040W,GLO4,"Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication",mitochondrion,Normal,Normal,0.97,1.096,1.169,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,140,8,2313,133,7,2987,199,14,3494,168,16,893,129,13,882,

YBR008C,FLR1,"Plasma membrane transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; involved in efflux of fluconazole, diazaborine, benomyl, methotrexate, and other drugs; expression induced in cells treated with the mycotoxin patulin; relocalizes from nucleus to plasma membrane upon DNA replication stress","cell periphery,vacuole",Normal,Normal,1.004,1.05,1.121,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,145,8,2389,141,8,3205,195,12,2789,177,13,439,133,12,440,

YBR122C,MRPL36,Mitochondrial ribosomal protein of the large subunit; overproduction suppresses mutations in the COX2 leader peptide-encoding region,mitochondrion,Normal,Normal,0.969,1.047,1.184,viable ,No aparent change,No aparent change,Not calculated,Not calculated,157,13,2269,151,13,2287,216,22,2171,203,20,732,133,13,742,

YOL084W,PHM7,Protein of unknown function; expression is regulated by phosphate levels; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and vacuole; protein abundance increases in response to DNA replication stress,"cell periphery,vacuole",Normal,Normal,0.975,1.053,1.126,viable ,No Fluorescence detected,Responsive,Not calculated,8,136,7,2840,130,7,3335,189,12,2787,174,13,786,132,12,782,

YDL130W-A,STF1,"Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p act as stabilizing factors that enhance inhibitory action of the Inh1p protein; protein abundance increases in response to DNA replication stress; STF1 has a paralog, INH1, that arose from the whole genome duplication",mitochondrion,Normal,Normal,0.991,1.032,1.065,viable ,No aparent change,Partially responsive,Not calculated,18,164,18,2519,156,15,2130,219,32,3237,179,19,847,134,16,872,

YNL259C,ATX1,"Cytosolic copper metallochaperone; transports copper to the secretory vesicle copper transporter Ccc2p for eventual insertion into Fet3p, which is a multicopper oxidase required for high-affinity iron uptake; human homolog ATOX1 can complement yeast atx1 mutant; overexpression of human ATOX1 suppresses lysine auxotrophy of the yeast sod1 null mutant, as does overexpression of yeast ATX1",cytoplasm,Normal,Normal,0.976,1.032,1.273,competitive fitness  decreased ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,147,7,2560,140,7,2482,197,13,3609,170,14,628,138,18,627,

YLR091W,GEP5,"Protein of unknown function; required for efficient 5' processing of mitochondrial tRNAs, for respiratory growth and mitochondrial genome maintenance; null mutant has decreased levels of cardiolipin and phosphatidylethanolamine; localizes to the matrix side of the inner mitochondrial membrane",mitochondrion,Normal,Normal,0.992,1.009,1.171,viable ,No aparent change,No aparent change,Not calculated,Not calculated,144,8,2241,137,8,2979,196,12,3095,184,15,1130,129,13,1157,

YGL222C,EDC1,"RNA-binding protein that activates mRNA decapping directly; binds to mRNA substrate and enhances activity of decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; EDC1 has a paralog, EDC2, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.019,1.005,1.022,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,152,9,2114,142,8,2858,204,15,2891,178,15,717,127,12,706,

YNL211C,MRX7,Protein that associates with mitochondrial ribosome; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL211C is not an essential gene,mitochondrion,Normal,Normal,1.038,1.019,1.007,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,148,7,2312,142,7,2662,197,12,3840,173,15,945,131,16,950,

YMR232W,FUS2,Cell fusion regulator; cytoplasmic protein localized to shmoo tip; required for alignment of parental nuclei before nuclear fusion during mating; contains a Dbl-homology domain; binds specifically with activated Cdc42p,cytoplasm,Normal,Normal,1.081,1.067,1.008,viable ,No Fluorescence detected,Partially responsive,Not calculated,16,137,7,2209,130,7,2916,195,13,2183,163,16,572,138,23,578,

YGL057C,GEP7,"Protein of unknown function; null mutant exhibits a respiratory growth defect and synthetic interactions with prohibitin (phb1) and gem1; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",mitochondrion,Normal,Normal,1.143,1.006,1.052,viable ,No aparent change,No aparent change,Not calculated,Not calculated,137,8,2207,130,7,2997,190,11,3504,191,13,1757,117,7,1751,

YLL018C,DPS1,"Aspartyl-tRNA synthetase, primarily cytoplasmic; homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation; shares five highly conserved amino acids with human that when mutated cause leukoencephalopathy characterized by hypomyelination with brain stem and spinal cord involvement and leg spasticity (HBSL)",cytoplasm,Normal,Abnormal,1.117,0.92,0.928,inviable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,161,12,1210,151,11,1604,226,19,2853,184,25,557,135,20,551,

YML075C,HMG1,"HMG-CoA reductase; catalyzes conversion of HMG-CoA to mevalonate, which is a rate-limiting step in sterol biosynthesis; one of two isozymes; localizes to nuclear envelope; overproduction induces formation of karmellae; forms foci at nuclear periphery upon DNA replication stress; expressed almost exclusively on the peri-nuclear side of the ER; human homolog HMGCR can complement yeast hmg1 mutant",nuclear periphery,Normal,Normal,1.017,0.993,0.966,viable ,Responsive,Responsive,41,20,162,16,2235,136,7,2784,229,27,3850,182,16,1045,135,17,1039,

YDR208W,MSS4,Phosphatidylinositol-4-phosphate 5-kinase; involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation,cytoplasm,Abnormal,Abnormal,0.647,0.011,0.28,inviable ,No Fluorescence detected,Responsive,Not calculated,Not calculated,149,8,1936,138,7,2346,221,15,3921,193,23,831,164,64,832,

YNL008C,ASI3,"Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi1p and Asi2p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p, maintaining the repressed state of gene expression in the absence of inducing amino acids",nuclear periphery,Normal,Normal,1.031,1.039,1.024,viable ,Responsive,Responsive,16,13,148,7,2092,140,7,2957,201,13,4033,174,23,788,138,19,779,

YGR217W,CCH1,"Voltage-gated high-affinity calcium channel; involved in calcium influx in response to some environmental stresses as well as exposure to mating pheromones; interacts and partially co-localizes with Mid1p; however, evidence suggests CCH1 is not required for Mid1p function",cytoplasm,Normal,Normal,1.123,0.966,0.959,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,148,6,2906,133,5,1779,207,12,3871,168,17,1030,147,31,1019,

YDR093W,DNF2,"Aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to endocytosis, protein transport, and cellular polarization; localizes primarily to the plasma membrane; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone; DNF2 has a paralog, DNF1, that arose from the whole genome duplication","ambiguous,cell periphery,bud",Normal,Normal,1.06,1.116,0.884,viable ,Responsive,Responsive,19,12,140,8,3125,132,6,3075,201,13,3791,177,16,1094,134,16,1065,

YMR036C,MIH1,Protein tyrosine phosphatase; involved in cell cycle control and retrograde protein transport; regulates the phosphorylation state of Cdc28p; modulates phosphorylation of retromer component Vps26p; homolog of S. pombe cdc25,"cytoplasm,nucleus",Normal,Normal,1.033,1.121,0.915,viable ,No Fluorescence detected,Responsive,Not calculated,17,143,8,2837,132,7,3075,201,13,3391,166,14,498,140,22,507,

YNL298W,CLA4,"Cdc42p-activated signal transducing kinase; member of the PAK (p21-activated kinase) family, along with Ste20p and Skm1p; involved in septin ring assembly, vacuole inheritance, cytokinesis, sterol uptake regulation; phosphorylates Cdc3p and Cdc10p; CLA4 has a paralog, SKM1, that arose from the whole genome duplication","ambiguous,cytoplasm,cell periphery,bud",Synchronized abnormal,Cell morphology,0.796,0.258,0.242,viable ,Responsive,Responsive,31,Not calculated,144,8,2588,130,6,2878,197,13,3529,164,14,643,141,31,642,

YNR012W,URK1,"Uridine/cytidine kinase; component of the pyrimidine ribonucleotide salvage pathway that converts uridine into UMP and cytidine into CMP; involved in the pyrimidine deoxyribonucleotide salvage pathway, converting deoxycytidine into dCMP","cytoplasm,nucleus",Normal,Normal,1.091,1.133,0.913,viable ,No Fluorescence detected,Responsive,Not calculated,13,141,7,3244,132,7,3258,201,13,3177,176,16,1015,129,13,985,

YCL014W,BUD3,"Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1, accounting for the first stage of biphasic activation, with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding, resulting in the axial budding pattern in haploids; localizes with septins to the bud neck contractile ring in mitosis",bud neck,Normal,Normal,1.084,1.111,0.912,viable ,Responsive,Responsive,23,18,142,9,2938,132,6,2912,206,13,3831,168,22,996,131,14,976,

YMR069W,NAT4,N alpha-acetyl-transferase; involved in acetylation of the N-terminal residues of histones H4 and H2A,"cytoplasm,nucleus",Normal,Normal,1.051,1.174,0.958,viable ,No Fluorescence detected,Responsive,Not calculated,13,144,8,2548,132,7,2717,197,13,2737,173,13,723,134,14,714,

YDL028C,MPS1,"Dual-specificity kinase; required for SPB duplication and spindle checkpoint function in mitosis and meiosis; contributes to bi-orientation, promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; autophosphorylation required for function; substrates include SPB proteins (Spc42p, Spc110p, Spc98p), mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); detected in peroxisomes; similar to human Mps1p",bud neck,Synchronized abnormal,Cell morphology,0,0,0,inviable ,Responsive,Responsive,28,Not calculated,142,7,1758,130,7,2049,186,12,1844,171,11,356,132,22,353,

YOR144C,ELG1,Subunit of an alternative replication factor C complex; important for DNA replication and genome integrity; suppresses spontaneous DNA damage; involved in homologous recombination-mediated repair and telomere homeostasis; required for PCNA (Pol30p) unloading during DNA replication,"cytoplasm,nucleus",Normal,Normal,0.955,1.095,1.141,viable ,No Fluorescence detected,Responsive,Not calculated,7,144,8,2420,133,8,3182,193,12,3020,179,14,551,134,15,548,

YER032W,FIR1,Protein involved in 3' mRNA processing; interacts with Ref2p; APCC(Cdh1) substrate; potential Cdc28p substrate,bud neck,Normal,Normal,0.988,1.091,1.126,viable ,Responsive,Responsive,16,11,137,8,2457,131,8,3018,199,13,3527,176,13,987,130,12,983,

YJL047C,RTT101,"Cullin subunit of a Roc1p-dependent E3 ubiquitin ligase complex; role in anaphase progression; Rtt101p-Mms22p ligase associates with replisome complex during S phase via Ctf4p; required for recovery after DSB repair; implicated in Mms22-dependent DNA repair; involved with Mms1p in nonfunctional rRNA decay; modified by the ubiquitin-like protein, Rub1p","cytoplasm,nucleus",Abnormal,Cell morphology,0.942,1.079,1.124,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,140,9,2060,132,9,2329,192,13,1884,183,14,623,128,11,622,

YKL101W,HSL1,"Nim1p-related protein kinase; septin-binding kinase that localizes to the bud neck septin ring and regulates the morphogenesis checkpoint; phosphorylates Hsl7p and cooperates with Elm1p to recruit Hsl7p to the mother-bud neck, as a prerequisite for the subsequent recruitment, phosphorylation, and degradation of Swe1p; autophosphorylation enhances interactions with Hsl7p",bud neck,Normal,Normal,1.007,1.018,1.163,competitive fitness  decreased ,Responsive,Responsive,15,12,152,8,1629,144,7,2382,197,14,2811,173,13,651,135,16,648,

YJR035W,RAD26,Protein involved in transcription-coupled nucleotide excision repair; repairs UV-induced DNA lesions; recruitment to DNA lesions is dependent on an elongating RNA polymerase II; homolog of human CSB protein,"cytoplasm,nucleus",Normal,Normal,0.988,1.05,1.103,viable ,No Fluorescence detected,Responsive,Not calculated,13,142,7,1940,132,7,2612,188,13,1926,164,12,539,134,14,538,

YPL221W,FLC1,"Flavin adenine dinucleotide transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC1 has a paralog, FLC3, that arose from the whole genome duplication","bud neck,cell periphery,vacuole",Normal,Normal,0.968,1.057,1.112,viable ,Responsive,Responsive,30,22,162,11,2792,144,8,2334,215,22,1704,167,13,729,135,16,737,

YPL071C,YPL071C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,"cytoplasm,nucleus",Normal,Normal,0.996,1.034,1.025,competitive fitness  decreased ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,148,7,1824,141,8,2443,200,13,3391,167,13,475,139,17,468,

YLR107W,REX3,RNA exonuclease; required for maturation of the RNA component of RNase MRP; functions redundantly with Rnh70p and Rex2p in processing of U5 snRNA and RNase P RNA; member of RNase D family of exonucleases,"cytoplasm,nucleus",Normal,Normal,1.055,1.033,1.015,viable ,Responsive,Responsive,14,15,145,8,1915,139,8,2552,195,14,3015,166,13,884,128,12,876,

YNL233W,BNI4,"Targeting subunit for Glc7p protein phosphatase; localized to the bud neck, required for localization of chitin synthase III to the bud neck via interaction with the chitin synthase III regulatory subunit Skt5p; phosphorylation by Slt2p and Kss1p involved in regulating Bni4p in septum assembly","bud neck,cytoplasm,cell periphery",Normal,Normal,1.088,1.011,1,viable ,Responsive,Responsive,20,18,152,9,2719,141,8,2513,202,13,4060,165,15,973,129,16,974,

YML079W,CFF1,"Protein required for production of 4-hydroxy-5-methylfuran-3(2H)-one (MHF); cupin superfamily protein; has structural resemblance to plant storage and ligand binding proteins (canavalin, glycinin, auxin binding protein) and to some enzymes (epimerase, germin); localizes to nucleus and cytoplasm","cytoplasm,nucleus",Normal,Normal,1.163,1.075,0.994,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,144,8,2375,132,8,2703,191,11,3548,170,13,953,129,14,954,

YBR086C,IST2,"Cortical ER protein involved in ER-plasma membrane (PM) tethering; one of 6 proteins (Ist2, Scs2, Scs22, Tcb1, Tcb2, Tcb3) that connect ER to PM, regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1 phosphatase to PI4P; required to locate Osh6, Osh7 in ER/PM contact site to allow phosphatidylserine transport from ER to PM; localizes to mother in small-budded cells, to bud in medium-, large-budded cells; mRNA transported to bud tip by actomyosin-driven process",cell periphery,Normal,Normal,1.154,1.05,1.06,viable ,Responsive,Responsive,35,14,163,12,1644,141,7,2094,231,20,3196,198,20,1976,128,14,1949,

YMR114C,YMR114C,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR114C is not an essential gene","cytoplasm,nucleus",Normal,Normal,1.124,1.062,1.003,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,151,8,2526,145,7,2183,187,11,3432,175,15,1058,129,12,1052,

YGR121C,MEP1,"Ammonium permease; belongs to Mep-Amt-Rh family of well-conserved ammonium (NH4+) transporters that includes the human Rh factors; expression is under the nitrogen catabolite repression regulation; activity regulated by TORC1 effectors, Npr1p and Par32p; human homolog RHCG complements yeast null mutant; mutations in human homolog RHCG implicated in metabolic acidosis; MEP1 has a paralog, MEP3, that arose from the whole genome duplication",cell periphery,Normal,Normal,1.131,0.964,0.946,viable ,No Fluorescence detected,Responsive,Not calculated,15,148,8,2663,137,7,2945,197,12,4086,167,15,687,144,23,679,

YOR120W,GCY1,"Glycerol dehydrogenase; involved in an alternative pathway for glycerol catabolism used under microaerobic conditions; also has mRNA binding activity; member of the aldo-keto reductase (AKR) family; human homolog AKR1B1 can complement yeast null mutant; protein abundance increases in response to DNA replication stress; GCY1 has a paralog, YPR1, that arose from the whole genome duplication","cytoplasm,nucleus",Normal,Normal,1.092,1.021,0.995,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,152,7,1995,144,7,2671,192,11,3988,177,16,871,138,17,882,

YKL051W,SFK1,Protein that regulates phospholipid asymmetry at plasma membrane; may act to generate normal levels of PI4P; may act together with or upstream of Stt4p; at least partially mediates proper localization of Stt4p to the plasma membrane,cell periphery,Normal,Normal,1.018,0.99,1.089,viable ,Responsive,Responsive,25,20,156,10,1143,142,8,1664,216,19,3416,174,18,497,147,25,486,

YGL131C,SNT2,"Subunit of Snt2C complex, RING finger ubiquitin ligase (E3); physically associates with Ecm5p and Rpd3p; along with Ecm5p, recruits Rpd3p to small number of promoters; colocalizes with Ecm5p, independently of Rpd3p, to promoters of stress response genes upon oxidative stress; involved in ubiquitination, degradation of excess histones; interacts with Ubc4p; role in regulating genes encoding amine transporters; relocalizes from nucleus to cytoplasm upon DNA replication stress","cytoplasm,nucleus",Normal,Normal,1.154,1.092,1.027,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,146,7,2386,136,6,3033,189,12,3840,176,14,1281,144,20,1284,

YDR227W,SIR4,"SIR protein involved in assembly of silent chromatin domains; silent information regulator (SIR) along with SIR2 and SIR3; involved in assembly of silent chromatin domains at telomeres and the silent mating-type loci; some SIR4 alleles prolong lifespan; required for Ku-mediated telomerase recruitment, telomere lengthening, and telomere hypercluster formation in quiescent yeast cells",nuclear periphery,Normal,Cell morphology,1.034,0.097,0.757,viable ,Responsive,Responsive,19,Not calculated,143,8,3211,134,7,3668,192,13,2980,181,21,962,141,22,942,

YNL076W,MKS1,Pleiotropic negative transcriptional regulator; involved in Ras-CAMP and lysine biosynthetic pathways and nitrogen regulation; involved in retrograde (RTG) mitochondria-to-nucleus signaling,cytoplasm,Synchronized abnormal,Abnormal,0.462,0.04,0.287,viable ,No Fluorescence detected,Responsive,Not calculated,Not calculated,142,7,3097,133,5,3573,189,9,4319,173,11,397,142,22,392,

YHL011C,PRS3,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes",cytoplasm,Normal,Normal,1.103,1.121,0.96,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,141,6,3095,133,6,3341,195,11,2761,163,14,621,139,25,623,

YMR270C,RRN9,Protein involved in promoting high level transcription of rDNA; subunit of UAF (upstream activation factor) for RNA polymerase I,nucleolus,Abnormal,Cell morphology,0.164,0.008,0.3,inviable ,No Fluorescence detected,Responsive,Not calculated,Not calculated,140,6,4023,133,5,4285,206,10,4177,165,15,330,132,18,329,

YNL074C,MLF3,"Serine-rich protein of unknown function; predicted to be palmitoylated; overproduction suppresses growth inhibition caused by exposure to immunosuppressant leflunomide; MLF3 has a paralog, VHS2, that arose from the whole genome duplication",cytoplasm,Normal,Normal,0.999,1.03,N/A,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,143,8,3075,134,7,3238,187,10,4424,173,11,1021,129,15,1040,

YBL025W,RRN10,Protein involved in promoting high level transcription of rDNA; subunit of UAF (upstream activation factor) for RNA polymerase I,nucleolus,Abnormal,Abnormal,0.945,0.768,1.202,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,138,7,1745,128,7,2050,188,12,2098,170,11,661,153,39,658,

YER033C,ZRG8,"Protein of unknown function; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; GFP-fusion protein is localized to the cytoplasm; transcription induced under conditions of zinc deficiency",cytoplasm,Normal,Normal,1.037,1.072,1.1,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,141,8,3061,133,7,2457,186,10,4342,170,12,522,135,14,530,

YNL248C,RPA49,RNA polymerase I subunit A49; essential for nucleolar assembly and for high polymerase loading rate; required for nucleolar localization of Rpa34p,nucleolus,Abnormal,Cell morphology,0.261,0.626,0.499,viable ,Responsive,Responsive,55,Not calculated,188,41,2799,139,10,2504,263,74,3435,177,10,937,129,11,942,

YKL071W,OSI1,"NADH-dependent short-chain aldehyde reductase; involved in detoxification of furfural; expression is upregulated in cells treated with the aldehydes furfural and glycolaldehyde, the mycotoxin patulin, and also the quinone methide triterpene celastrol; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm",cytoplasm,Normal,Normal,1.064,1.025,1.09,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,139,7,2404,133,8,2384,183,10,3837,192,13,1941,125,9,1956,

YDL224C,WHI4,"Putative RNA binding protein; regulates the cell size requirement for passage through Start and commitment to cell division; WHI4 has a paralog, WHI3, that arose from the whole genome duplication",cytoplasm,Normal,Cell morphology,1.039,1.071,1.18,viable ,No Fluorescence detected,No fluorescence detected,Not calculated,Not calculated,137,8,2453,131,8,2816,191,13,2485,171,15,1366,135,20,1364,

YOR191W,ULS1,"Swi2/Snf2-related translocase, SUMO-Targeted Ubiquitin Ligase (STUbL); required for maintenance of NHEJ inhibition at telomeres; functions at telomeres to translocate and ubiquitinylate poly-sumoylated Rap1p for proteosomal degradation; plays role in antagonizing silencing during mating-type switching; only known STUbL with a translocase activity; contains RING finger domain; relocalizes from nucleus to cytoplasm upon DNA replication stress",nucleus,Normal,Normal,1.015,0.978,1.105,viable ,No Fluorescence detected,Responsive,Not calculated,6,137,8,2971,131,8,2536,186,13,3186,174,13,1104,135,15,1097,

YPR160W,GPH1,Glycogen phosphorylase required for the mobilization of glycogen; non-essential; regulated by cyclic AMP-mediated phosphorylation; phosphorylation by Cdc28p may coordinately regulate carbohydrate metabolism and the cell cycle; expression is regulated by stress-response elements and by the HOG MAP kinase pathway,cytoplasm,Normal,Normal,0.995,1.036,1.018,viable ,Responsive,Responsive,22,11,140,10,2811,131,7,3052,188,16,2702,168,12,757,136,15,770,

YER148W,SPT15,"TATA-binding protein (TBP); general transcription factor that interacts with other factors to form the preinitiation complex at promoters; essential for viability, highly conserved; yeast gene can complement mutations in human homolog TBP",nucleus,Abnormal,Abnormal,0,0,0,inviable ,Responsive,Responsive,31,Not calculated,160,20,869,142,9,1149,219,37,1016,175,9,128,138,25,127,

YPR145W,ASN1,"Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog, ASN2, that arose from the whole genome duplication",cytoplasm,Normal,Normal,1.03,1.012,0.996,viable ,Responsive,Responsive,65,74,197,36,2609,134,8,2001,295,52,3688,180,13,1552,131,13,1556,

YKL012W,PRP40,U1 snRNP protein involved in splicing; interacts with the branchpoint-binding protein during the formation of the second commitment complex,nucleus,Normal,Normal,1.073,1.005,1,inviable ,No Fluorescence detected,Responsive,Not calculated,10,144,8,2759,133,7,1882,187,12,3255,168,14,997,134,17,999,

